Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Jinx Midnight,715.880,1,6,6,0,0,1.000,0.578,84,58,4.333,1.000,23,0
YAKA,594.030,1,6,4,2,0,0.667,0.694,82,64,3.000,1.000,18,0
BFD Shout,566.140,2,12,10,2,0,0.833,0.563,172,103,5.750,1.000,24,0
3SB,516.640,1,4,4,0,0,1.000,0.495,54,29,6.250,1.000,14,0
GRUT,356.840,2,8,6,2,0,0.750,0.542,105,69,4.500,1.000,22,0
East Block,288.770,1,6,4,2,0,0.667,0.573,75,76,-0.167,1.000,23,0
Mooncup,251.330,2,12,7,5,0,0.583,0.592,143,123,1.667,1.000,23,0
Iceni,192.060,2,12,7,5,0,0.583,0.521,139,126,1.083,1.000,19,0
Catchup,157.930,2,10,6,4,0,0.600,0.456,115,88,2.700,1.000,20,0
Bristol,119.260,1,6,4,2,0,0.667,0.411,71,51,3.333,1.000,17,0
FABulous,95.590,2,11,6,5,0,0.545,0.512,128,109,1.727,1.000,19,0
LMU,64.320,2,8,6,2,0,0.750,0.343,92,66,3.250,1.000,21,0
Troubles,24.760,1,4,2,2,0,0.500,0.673,37,48,-2.750,1.000,14,0
Jetset LUV,-5.630,3,13,5,8,0,0.385,0.545,130,156,-2.000,1.000,25,0
box vienna ultimate,-13.110,2,9,3,6,0,0.333,0.554,92,110,-2.000,1.000,25,0
SMOG,-109.180,1,6,4,2,0,0.667,0.314,70,60,1.667,1.000,15,0
wuf.,-148.900,2,9,4,5,0,0.444,0.529,89,94,-0.556,1.000,25,0
Tequila Boom Boom,-176.630,1,6,3,3,0,0.500,0.357,59,55,0.667,1.000,18,0
Seagulls,-231.260,1,6,3,3,0,0.500,0.350,63,61,0.333,1.000,16,0
Sharks Ultimate Barcelona,-233.890,1,3,1,2,0,0.333,0.444,24,35,-3.667,1.000,11,0
Dublin Gravity,-306.740,1,6,1,5,0,0.167,0.528,53,61,-1.333,1.000,14,0
SYC,-340.400,2,10,3,7,0,0.300,0.541,83,125,-4.200,1.000,23,0
Spice,-439.570,1,6,1,5,0,0.167,0.494,49,71,-3.667,1.000,15,0
Queen Kong,-530.660,1,6,1,5,0,0.167,0.394,43,57,-2.333,1.000,17,0
ZU Swarm,-622.300,1,3,0,3,0,0.000,0.404,22,43,-7.000,1.000,16,0
FlyHigh Louves,-655.390,1,6,2,4,0,0.333,0.457,39,75,-6.000,1.000,18,0
Horizon,-804.120,1,6,0,6,0,0.000,0.472,40,86,-7.667,1.000,14,0
Solebang,-1017.630,1,6,0,6,0,0.000,0.405,28,82,-9.000,1.000,17,0
